Date,Open,High,Low,Close,Adj Close,Volume
2018-05-10,26.500000,30.000000,26.150000,27.500000,27.500000,20300
2018-05-11,27.500000,62.500000,27.000000,42.000000,42.000000,65300
2018-05-14,50.000000,55.000000,43.049999,48.009998,48.009998,16600
2018-05-15,51.700001,69.889999,50.000000,58.049999,58.049999,34400
2018-05-16,61.000000,67.500000,46.000000,50.000000,50.000000,16600
2018-05-17,61.990002,61.990002,48.150002,57.049999,57.049999,5800
2018-05-18,59.000000,59.000000,48.000000,52.500000,52.500000,21200
2018-05-21,53.000000,59.000000,53.000000,56.750000,56.750000,10500
2018-05-22,59.400002,59.900002,55.500000,56.000000,56.000000,11800
2018-05-23,57.000000,68.000000,56.509998,59.990002,59.990002,28700
2018-05-24,null,null,null,null,null,null
2018-05-25,59.950001,59.950001,56.250000,58.700001,58.700001,2900
